,AHP Matrix ,,,,,,,,Normalised AHP Matrix ,,,,,,
,Wind,Slope,Ruggedness,Grid,Roads,WEIGHTED SUM,,,Wind,Slope,Ruggedness,Grid,Roads,WEIGHT,WEIGHTS*100
Wind,1,5,7,3,7,2.742720591,,Wind,0.549738407,0.4838709834,0.5675675829,0.6164384406,0.3684210526,0.5172072933,51.72072933
Slope,0.2,1,1,0.333333,3,0.5207927928,,Slope,0.1099476814,0.09677419667,0.08108108327,0.06849309157,0.1578947368,0.102838158,10.2838158
Ruggedness,0.142857,1,1,0.333333,3,0.4912380165,,Ruggedness,0.07853397961,0.09677419667,0.08108108327,0.06849309157,0.1578947368,0.09655541759,9.655541759
Grid,0.333333,3,3,1,5,1.239219307,,Grid,0.1832459524,0.29032259,0.2432432498,0.2054794802,0.2631578947,0.2370898334,23.70898334
Roads,0.142857,0.333333,0.333333,0.2,1,0.2340784054,,Roads,0.07853397961,0.0322580333,0.02702700073,0.04109589604,0.05263157895,0.04630929772,4.630929772
SUM,1.819047,10.333333,12.333333,4.866666,19,,,,,,,,,,
,,,,,,,,,,,,,,,
LAMDA ,,LAMDA MAX,CI,CR,,,,,,,,,,,
5.302942604,,5.14724692,0.03681173002,0.03316372074,,,,,,,,,,,
5.06419799,,,,,,,,,,,,,,,
5.087627693,,,,,,,,,,,,,,,
5.226792264,,,,,,,,,,,,,,,
5.054674049,,,,,,,,,,,,,,,
